frame,track_id,speed_kmh
1,1,0.0
1,2,0.0
1,3,0.0
2,1,0.0
2,2,0.0
2,4,0.0
3,1,132.9
3,2,134.5
3,4,0.0
3,5,0.0
4,1,174.5
4,4,199.1
5,1,184.9
6,1,184.1
6,4,214.0
7,1,181.2
8,1,186.8
9,1,189.8
10,1,190.5
11,1,191.6
12,1,194.9
13,1,205.0
14,1,207.6
15,1,211.2
16,1,216.8
17,1,218.8
18,1,215.4
19,1,212.8
20,1,209.8
21,1,203.8
22,1,191.4
23,1,176.3
24,1,159.9
25,1,0.0
26,1,0.0
27,1,35.6
28,1,32.9
29,1,29.5
30,1,27.6
31,1,25.7
32,1,24.8
33,1,23.7
34,1,22.9
35,1,21.7
36,1,20.7
37,1,18.4
38,1,16.8
39,1,15.7
40,1,14.6
41,1,13.8
42,1,12.9
42,11,0.0
43,1,12.2
43,11,0.0
44,1,11.5
44,11,13.6
45,1,11.3
45,11,13.6
46,1,10.9
46,11,12.5
47,1,10.6
47,11,12.7
48,1,10.3
48,11,12.5
49,1,10.4
49,11,12.5
50,1,10.6
51,1,11.0
52,1,11.2
53,1,13.1
54,1,16.3
55,1,21.5
56,1,28.1
57,1,35.3
58,1,42.4
59,1,51.2
60,1,60.4
61,1,70.4
62,1,80.3
63,1,87.4
64,1,91.5
65,1,92.3
66,1,91.3
67,1,92.4
68,1,92.5
69,1,90.4
70,1,87.3
71,1,81.9
72,1,76.5
73,1,72.0
74,1,69.4
75,1,68.0
76,1,64.1
77,1,56.5
78,1,49.8
79,1,43.0
80,1,37.1
81,1,32.8
82,1,31.8
83,1,31.8
84,1,32.2
85,1,32.8
86,1,38.5
87,1,46.0
88,1,54.6
89,1,63.6
90,1,72.1
91,1,77.5
92,1,78.6
93,1,78.5
94,1,78.5
95,1,76.6
96,1,71.9
97,1,65.5
98,1,57.8
99,1,50.1
100,1,42.3
101,1,37.9
102,1,34.4
103,1,33.4
104,1,33.2
105,1,35.0
106,1,40.2
107,1,47.4
108,1,58.0
109,1,69.0
110,1,83.0
111,1,98.0
112,1,111.2
113,1,120.6
114,1,128.8
115,1,134.8
116,1,139.7
117,1,141.5
118,1,0.0
118,13,0.0
119,1,0.0
119,13,0.0
120,1,73.2
120,13,22.0
124,1,0.0
125,1,0.0
126,1,246.9
127,1,232.9
128,1,215.8
129,1,211.8
130,1,210.8
131,1,207.9
132,1,203.3
133,1,197.9
134,1,190.6
135,1,182.6
136,1,0.0
137,1,0.0
138,1,51.8
139,1,50.3
140,1,47.3
141,1,47.9
142,1,49.3
143,1,50.2
144,1,50.1
145,1,49.6
146,1,48.3
147,1,46.9
148,1,46.1
149,1,46.6
150,1,48.0
151,1,0.0
152,1,0.0
153,1,105.8
154,1,95.4
155,1,88.4
156,1,96.8
157,1,101.9
158,1,103.6
159,1,103.1
160,1,105.5
161,1,109.0
162,1,111.3
163,1,113.7
164,1,118.0
165,1,120.0
166,1,116.0
167,1,111.5
168,1,112.4
169,1,112.7
170,1,109.0
171,1,0.0
172,1,0.0
173,1,38.1
174,1,34.9
175,1,39.9
176,1,42.3
177,1,45.4
178,1,48.2
179,1,53.4
180,1,58.8
181,1,66.0
182,1,72.9
183,1,82.6
184,1,0.0
185,1,0.0
186,1,68.6
187,1,66.2
188,1,62.4
189,1,59.9
190,1,58.5
191,1,56.6
192,1,56.1
193,1,59.3
194,1,62.4
195,1,64.4
196,1,65.4
197,1,66.6
198,1,68.5
199,1,70.2
200,1,71.7
201,1,73.0
202,1,70.8
203,1,65.7
204,1,60.5
205,1,55.8
206,1,51.3
207,1,47.2
208,1,43.8
209,1,41.0
210,1,38.2
211,1,0.0
212,1,0.0
213,1,32.8
214,1,29.6
215,1,41.4
216,1,49.3
217,1,52.6
218,1,53.8
219,1,54.2
220,1,54.0
221,1,53.6
222,1,53.1
223,1,54.7
224,1,55.1
225,1,50.6
226,1,45.3
227,1,40.5
228,1,35.9
229,1,31.8
230,1,28.1
231,1,24.5
232,1,21.1
233,1,18.0
234,1,16.4
235,1,16.0
236,1,15.5
237,1,15.4
238,1,15.7
239,1,16.0
240,1,16.5
241,1,17.1
242,1,17.4
243,1,17.7
244,1,18.2
245,1,19.1
246,1,20.3
247,1,21.3
248,1,22.0
249,1,22.4
250,1,23.2
251,1,24.4
252,1,26.3
253,1,28.0
254,1,29.2
255,1,30.0
256,1,30.8
257,1,32.0
258,1,34.0
259,1,36.0
260,1,37.1
261,1,37.8
262,1,38.4
263,1,39.1
264,1,40.6
265,1,42.5
266,1,43.9
267,1,44.9
268,1,45.4
269,1,46.8
270,1,49.3
271,1,52.6
272,1,56.4
273,1,59.9
274,1,62.6
275,1,65.3
276,1,68.1
277,1,70.8
278,1,72.8
279,1,73.3
280,1,71.8
281,1,68.5
282,1,64.4
283,1,60.4
284,1,56.5
285,1,52.7
286,1,51.1
287,1,51.7
288,1,0.0
288,17,0.0
289,1,0.0
289,17,0.0
290,1,88.9
290,17,6.8
291,1,84.2
291,17,5.7
292,1,80.1
292,17,4.9
293,1,77.9
294,1,77.0
294,17,5.9
295,1,75.7
295,17,6.6
295,19,0.0
296,1,73.8
296,17,7.2
296,19,0.0
297,1,72.1
297,17,7.7
298,1,69.5
298,17,7.9
299,1,67.8
299,17,8.1
300,1,64.7
300,17,8.2
301,1,62.4
301,17,8.7
302,1,60.4
302,17,9.5
303,1,57.7
303,17,10.5
304,1,54.8
304,17,11.0
305,1,53.2
306,1,52.5
307,1,52.5
307,17,13.1
308,1,52.9
308,17,15.3
309,1,52.5
309,17,18.1
310,1,51.4
311,1,50.6
312,20,0.0
313,20,0.0
314,20,88.3
315,20,85.1
316,20,78.8
317,20,73.9
318,20,72.6
319,20,72.4
320,20,71.5
321,20,70.6
322,20,69.7
323,20,69.5
324,20,67.9
325,20,67.6
326,20,68.8
327,20,70.2
328,20,70.6
330,20,73.9
462,22,0.0
463,22,0.0
465,22,69.6
466,22,67.1
467,22,66.6
468,22,67.1
469,22,67.3
470,22,67.8
471,22,68.9
472,22,69.4
473,22,70.5
474,22,70.8
475,22,71.2
476,22,71.6
477,22,71.8
478,22,71.2
479,22,70.6
480,22,69.4
481,22,67.5
482,22,66.0
483,22,64.5
484,22,63.5
485,22,63.1
486,22,63.5
487,22,65.0
488,22,67.7
489,22,70.2
490,22,72.9
491,22,75.2
492,22,76.3
493,22,77.1
494,22,77.7
495,22,77.3
496,22,75.6
497,22,72.4
498,22,68.9
499,22,66.1
500,22,63.4
501,22,61.6
502,22,60.2
503,22,58.1
504,22,56.0
505,22,54.7
506,22,54.7
507,22,55.8
508,22,56.5
509,22,57.3
510,22,60.4
511,22,66.0
512,22,74.1
513,22,83.2
514,22,92.3
515,22,100.4
516,22,106.7
528,23,0.0
529,23,0.0
530,23,54.3
531,23,50.3
532,23,46.8
533,23,45.8
534,23,46.1
535,23,46.6
536,23,47.1
537,23,47.4
538,23,47.1
539,23,46.5
540,23,45.0
541,23,44.2
542,23,43.6
543,23,42.0
544,23,39.4
545,23,36.1
546,23,32.8
547,23,32.3
548,23,34.0
549,23,38.2
550,23,43.2
551,23,49.9
552,23,58.5
553,23,68.7
554,23,80.2
555,23,92.5
556,23,102.2
557,23,107.7
558,23,109.7
559,23,109.3
560,23,106.6
561,23,101.2
562,23,93.6
563,23,84.4
564,23,74.2
565,23,63.7
566,23,56.5
567,23,50.4
568,23,45.9
569,23,44.8
570,23,45.6
571,23,48.2
572,23,52.7
573,23,58.4
574,23,64.6
575,23,70.0
576,23,74.8
577,23,80.2
578,23,83.4
579,23,87.1
580,23,91.5
581,23,98.1
582,23,104.2
591,23,0.0
592,23,0.0
595,23,192.3
596,23,175.4
597,23,165.9
598,23,156.0
599,23,148.6
600,23,142.4
601,23,137.0
602,23,132.7
603,23,129.4
604,23,123.0
605,23,109.5
606,23,98.3
607,23,88.0
608,23,79.0
609,23,70.0
610,23,61.1
611,23,52.2
612,28,0.0
612,29,0.0
613,28,0.0
613,29,0.0
614,28,149.4
614,29,89.4
615,28,160.3
615,29,110.3
616,28,161.9
616,29,108.9
617,28,172.2
617,29,110.2
618,28,176.7
619,29,116.2
620,28,189.4
621,33,0.0
621,28,196.4
622,33,0.0
622,28,198.9
623,33,75.1
623,28,199.8
624,33,71.6
624,28,199.7
625,33,67.3
625,28,202.5
625,29,133.7
626,33,63.2
626,28,202.0
626,29,145.0
627,33,59.7
627,28,199.2
627,29,150.7
628,33,56.5
628,28,191.4
628,29,154.1
629,33,54.4
629,28,179.4
630,33,57.1
630,28,161.9
631,33,59.5
631,28,146.8
632,33,61.3
632,28,135.1
633,33,63.2
633,28,125.0
634,33,66.3
634,28,116.0
635,28,113.1
636,28,111.4
638,28,114.6
639,28,117.2
640,28,123.1
641,28,127.1
643,28,128.4
645,28,129.7
646,28,130.1
647,28,126.1
648,28,117.9
649,28,108.4
650,28,97.4
651,28,90.4
652,28,86.3
653,28,84.0
654,28,82.7
655,28,81.3
656,28,79.8
657,28,81.7
658,28,82.7
659,28,84.9
660,28,87.6
661,28,89.5
662,28,90.3
663,28,89.5
664,28,88.5
665,28,86.7
666,28,85.5
667,28,86.2
668,28,88.3
669,28,88.2
670,28,84.8
671,28,79.1
672,28,73.5
673,28,70.0
674,28,67.4
675,28,64.8
676,28,60.6
677,28,54.7
678,28,48.0
679,28,44.0
680,28,43.8
681,28,44.4
682,28,44.3
683,28,43.4
685,28,43.5
686,28,44.8
687,28,47.7
688,28,50.8
689,28,0.0
690,28,0.0
691,28,31.3
692,28,26.1
693,28,23.7
694,28,22.6
695,28,21.7
696,28,21.0
697,28,20.2
698,28,19.4
699,28,18.1
700,28,17.1
701,28,15.0
702,28,13.7
703,28,12.4
704,28,11.4
705,28,10.3
706,28,9.5
707,28,9.2
708,28,9.2
709,28,9.7
710,28,10.1
711,28,10.6
712,28,11.5
713,28,12.1
714,28,12.8
715,28,13.6
716,28,14.5
717,28,15.1
718,28,15.4
719,28,16.2
720,28,17.1
721,28,17.8
722,28,18.6
723,28,19.9
724,28,20.8
725,28,21.3
726,28,21.5
727,28,21.7
728,28,21.7
729,28,21.0
730,28,20.1
731,28,19.1
732,28,17.6
733,28,16.3
734,28,14.9
735,28,14.8
736,28,14.8
737,28,14.9
738,28,16.0
739,28,17.5
740,28,20.1
741,28,22.8
742,28,25.6
743,28,0.0
744,28,0.0
745,28,42.4
746,28,35.3
747,28,30.6
748,28,27.2
749,28,24.6
750,28,22.8
751,28,21.6
752,28,20.4
753,28,18.8
754,28,17.3
755,28,13.5
756,28,11.1
757,28,9.4
758,28,8.2
759,28,7.1
760,28,5.8
761,28,0.0
761,36,0.0
762,28,0.0
762,36,0.0
763,28,78.0
763,36,16.4
764,28,67.3
764,36,13.7
765,28,60.1
765,36,13.0
766,28,54.9
766,36,12.1
767,28,51.4
767,36,11.6
768,28,49.5
768,36,11.1
769,28,48.1
770,28,47.1
770,36,10.6
771,28,44.9
772,28,43.0
773,28,37.6
774,28,34.5
775,28,32.3
776,28,30.8
777,28,29.5
778,28,27.8
779,28,25.6
780,28,23.7
781,28,23.4
782,28,23.5
783,28,24.0
784,28,24.5
785,28,25.2
786,28,25.7
787,28,26.0
788,28,26.4
789,28,26.9
790,28,26.6
791,28,25.7
792,28,24.8
793,28,25.2
794,28,25.1
795,28,25.2
796,28,25.8
797,28,0.0
798,28,0.0
799,28,141.7
800,28,141.4
801,28,136.4
802,28,128.9
803,28,121.8
804,28,120.9
805,28,119.5
806,28,120.1
807,28,121.3
808,28,119.9
809,28,116.6
810,28,114.9
811,28,116.9
812,28,122.4
813,28,128.2
814,28,131.5
815,28,134.1
816,28,136.6
817,28,140.4
818,28,146.5
819,28,151.3
820,28,152.5
821,28,150.3
822,28,145.5
823,28,141.1
824,28,136.4
842,41,0.0
843,41,0.0
844,41,140.1
845,41,141.1
846,41,140.3
847,41,136.6
848,41,131.6
849,41,125.6
850,41,119.6
851,41,114.1
852,41,107.4
853,41,101.7
854,41,91.6
855,41,80.2
856,41,68.5
857,41,58.1
858,41,49.6
859,41,42.9
860,41,37.6
861,41,33.4
862,41,31.1
863,41,29.0
864,41,28.0
865,41,28.2
866,41,29.4
867,41,30.7
868,41,31.5
869,41,32.0
870,41,32.1
871,41,31.8
872,41,32.0
873,41,32.2
874,41,32.3
875,41,31.8
876,41,30.9
877,41,30.2
878,41,30.5
879,41,31.8
880,41,33.2
881,41,35.6
882,41,38.3
883,41,41.0
884,41,43.9
885,41,47.6
886,41,51.3
890,43,0.0
891,43,0.0
892,43,0.0
893,43,2.3
894,43,3.8
895,43,48.3
896,43,79.9
900,43,101.5
901,43,113.7
902,43,120.6
903,43,126.1
904,43,130.5
905,43,147.5
906,43,164.0
907,43,170.6
908,43,156.2
909,43,136.8
910,43,116.7
911,43,98.9
912,43,82.9
913,43,66.9
914,43,51.1
915,43,35.1
916,43,19.2
917,43,12.9
935,43,0.0
937,43,0.0
938,43,0.0
954,43,0.0
955,43,0.0
956,43,92.8
957,43,109.1
958,43,109.7
959,43,108.0
960,43,108.5
961,43,108.6
962,43,107.4
963,46,0.0
964,46,0.0
965,46,16.4
966,46,18.2
967,46,17.1
969,46,46.3
970,46,63.2
971,46,72.7
972,46,0.0
973,46,0.0
974,46,171.1
975,46,151.6
976,46,136.7
977,46,123.8
978,46,113.3
979,46,105.0
980,46,98.5
981,43,0.0
982,43,0.0
989,46,0.0
990,46,0.0
991,46,35.1
992,46,36.4
993,46,37.3
994,46,37.1
995,46,36.2
996,46,35.3
997,46,34.7
998,46,34.0
999,46,33.6
1000,46,32.7
1001,46,31.5
1002,46,29.7
1003,46,27.7
1004,46,26.1
1005,46,24.8
1006,46,23.6
1007,46,22.1
1008,46,20.6
1009,46,19.0
1010,46,18.0
1011,46,17.3
1012,46,16.8
1013,46,16.2
1014,46,15.8
1015,46,15.7
1016,46,16.8
1017,46,0.0
1018,46,0.0
1019,46,24.5
1020,46,20.4
1021,46,18.8
1022,46,17.2
1023,46,16.3
1024,46,15.4
1025,46,14.6
1026,46,13.8
1027,46,12.6
1028,46,11.7
1029,46,9.7
1030,46,8.3
1031,46,7.2
1032,46,6.3
1033,46,5.5
1034,46,5.0
1035,46,4.6
1036,46,4.5
1037,46,5.0
1038,46,5.4
1039,46,5.7
1040,46,6.2
1041,46,6.5
1042,46,6.8
1043,46,6.8
1044,46,6.8
